年份,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
雍正元年,,,0.75,,0.85,,0.75,0.95,,
雍正二年,0.75,0.75,,0.75,0.85,0.85,0.85,0.83,,,0.9,
雍正三年,,,,,,,,
雍正四年,,,,1.125,,1.15,,1.3,,1.3,
雍正五年,,,,1.55,,1.71,,,1.165,,,
雍正六年,1.1,,,,1.175,,,1.15,,1.15,,,
雍正七年,,,,0.955,,0.955,0.99,,
雍正八年,,,,,,0.75,,0.795,,
雍正九年,,,,,,0.7,,0.88,,0.825,
雍正十年,0.75,1.05,,1.05,,1,,,
雍正十一年,,,,,,,0.85,,
雍正十二年,,,,0.75,,,,,1,
雍正十三年,,,,0.85,,1.245,,,,
